ID,WTP,gender,age,urban,income_1,liberal_1
190,159211.27,2,32,3,6,6
191,162507.04,2,32,2,6,7
192,163521.13,2,32,1,6,6
193,154394.37,2,32,1,5,5
194,119661.97,2,26,1,4,4
195,157436.62,2,32,1,6,6
196,163014.08,1,32,1,6,7
197,128535.21,2,26,1,4,4
198,147802.82,2,40,3,6,4
199,36279.05,2,29,2,4,2
200,0,1,63,2,1,1
201,132591.55,1,44,2,6,5
202,146788.73,2,26,1,4,4
203,180000,2,36,1,5,7
204,131577.46,2,26,1,4,4
205,166816.9,2,32,1,6,6
206,0,2,36,3,1,7
207,103436.62,2,32,2,7,7
208,170112.68,2,29,1,6,5
209,122704.23,2,26,1,4,4
210,158450.7,1,48,2,2,1
211,110535.21,1,30,2,2,6
212,149830.99,1,33,1,5,6
213,91687.08,2,35,1,1,4
214,129295.81,2,52,1,4,6
215,0,2,70,2,4,1
216,253.52,2,55,2,5,1
217,136394.37,2,30,1,6,6
218,139183.1,1,58,1,5,5
219,11661.97,2,34,3,4,6
220,171633.8,2,32,1,6,6
221,161239.44,2,32,3,6,6
222,142985.92,2,21,3,5,7
223,131577.46,2,21,3,5,7
224,138169.01,2,21,3,4,7
225,45633.8,1,29,1,6,4
226,0,1,39,2,1,2
227,172394.37,1,32,1,6,6
228,38322.58,2,38,3,5,1
229,146788.74,1,23,3,4,6
230,89746.48,1,45,2,3,7
231,108507.04,1,30,2,4,7
232,0,1,38,3,4,1
233,87211.27,1,41,2,3,4
234,96084.51,1,42,1,4,4
235,129549.3,2,24,1,5,7
236,42591.55,1,25,1,5,7
237,0,2,42,2,5,1
238,48929.58,2,34,1,2,6
239,163521.13,2,32,1,6,6
240,102169.01,1,34,2,4,1
241,0,1,53,2,2,4
242,45887.32,2,45,2,2,2
243,135887.32,2,77,3,2,1
244,154394.37,2,32,1,6,6
245,0,2,46,2,2,4
246,0,2,54,1,1,7
247,0,1,21,2,4,5
248,78082.01,1,41,2,7,1
249,180000,1,38,2,7,7
250,1774.65,2,19,2,3,1
251,72760.56,2,34,2,5,4
252,93355.55,2,37,2,4,1
253,0,2,37,1,4,7
254,99633.8,1,25,2,3,4
255,114845.07,1,25,2,3,4
256,106478.87,1,25,2,3,4
257,145263.28,2,37,1,5,7
258,0,1,24,2,3,6
259,70480.02,,,,,
260,88225.35,1,33,2,4,6
261,159464.79,2,32,1,6,6
262,79859.15,2,23,1,5,6
263,101408.45,,,,,
264,65408.45,,32,2,7,7
265,160985.92,1,32,1,6,6
266,115605.63,2,32,2,7,7
267,169352.11,2,32,2,7,7
